title,genre,rating,upc,price,availability
Behind Closed Doors,Thriller,Four,be5cc846f45496fb,52.22,18
You can't bury them all: Poems,Poetry,Two,55f9da0c5eea2e10,33.63,17
Slow States of Collapse: Poems,Poetry,Three,b4fd5943413e089a,57.31,17
Reasons to Stay Alive,Nonfiction,Two,c8f7f0cb1abb9cac,26.41,17
Private Paris (Private #10),Fiction,Five,b12b89017878a60d,47.61,17
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,Five,c27f6e1f185b0383,23.11,17
Without Borders (Wanderlove #1),New Adult,Two,acddfeab2a407640,45.07,16
When We Collided,Contemporary,One,3ecb690d1542c568,31.77,16
"We Love You, Charlie Freeman",Fiction,Five,8d455c7539795d2a,50.27,16
Untitled Collection: Sabbath Poems 2014,Poetry,Four,657fe5ead67a7767,14.27,16
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,Four,d170b5a0da46380e,44.18,16
Unicorn Tracks,Fantasy,Three,7ae099f3898e0209,18.78,16
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,One,9a9d6e9bc555731e,25.52,16
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,One,09555be379ad9253,16.28,16
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,Three,7858914fad68493c,31.12,16
This One Summer,Sequential Art,Four,51653ef291ab7ddc,19.49,16
Thirst,Fiction,Five,709822d0b5bcb7f4,17.27,16
The Torch Is Passed: A Harding Family Story,Add a comment,One,4eed62cf5f8d8edf,19.09,16
The Secret of Dreadwillow Carse,Childrens,One,b5ea0b5dabed25a8,56.13,16
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,One,142d767a56a9254d,56.41,16
The Past Never Ends,Mystery,Four,5ee94540d0749ea0,56.50,16
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,Three,cedf82b5086e4691,45.22,16
The Nameless City (The Nameless City #1),Sequential Art,Four,7d385d34d12e60ff,38.16,16
The Murder That Never Was (Forensic Instincts #5),Fiction,Three,d01ac97e2b8947c2,54.11,16
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,Four,aadee1c326d286e3,42.96,16
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,Four,31075275518532d7,23.89,16
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,Three,0da9aa9d24677fc0,16.77,16
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,Five,8c9e6bf2467d740d,20.59,16
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,One,acd86a5426e21ca0,37.13,16
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,One,a30b270e25489e5c,56.06,16
The Death of Humanity: and the Case for Life,Philosophy,Four,bd261725b99f5983,58.11,16
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,Three,43c6a960757cf559,49.05,16
The Art Forger,Add a comment,Three,80cfab6bcff3a244,40.76,16
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,One,a3d2a4250807f1e9,19.73,16
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,Five,7d6d2a6c0276f81b,32.24,16
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,Four,87b0615b6e1f4d7b,41.83,16
Soul Reader,Default,Two,e6af5bf1163c1151,39.58,16
Security,Horror,Two,6f78a0d744c35456,39.25,16
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,Three,c849f0b2f5d6a742,25.02,16
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,Two,53a3d11bb568cc8b,51.04,16
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,Two,d7310206583a54b6,19.83,16
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,Three,c82a3e358c773c73,50.40,16
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,Five,0fa6dceead7ce47a,13.61,16
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,Five,0e691eda369f4e09,13.34,16
"Pop Gun War, Volume 1: Gift",Sequential Art,One,e80f8e518b300dfe,18.97,16
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,Two,7392c0032f92d816,36.28,16
Patience,Sequential Art,Three,9429b4d59c537af5,10.16,16
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,Four,889139b8e9c4cb36,15.44,16
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,One,11809b1d323b3057,48.41,16
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,One,9ffa38d3b832433a,46.35,16
On a Midnight Clear,Add a comment,Three,b757c0c361e689ce,14.07,16
Obsidian (Lux #1),Young Adult,Two,3c346ab1e76ae1f6,14.86,16
My Paris Kitchen: Recipes and Stories,Food and Drink,Two,784bc2279baa878d,33.37,16
Masks and Shadows,Fantasy,Two,fa9610a50a1bf149,56.40,16
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,Four,72f9d5be3472d34e,14.02,16
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,Two,460089f796fb3f82,46.91,16
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,Three,b6ee99bcf06fc91f,45.61,16
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,Two,57e5a4d515c8ce44,19.92,16
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,One,7b75cc7f223791f4,40.11,16
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,Two,228f74b74f3a08ae,53.90,16
Join,Science Fiction,Five,18ad3ed896c7ce05,35.67,16
In the Country We Love: My Family Divided,Nonfiction,Four,b136b1b180ca753a,22.00,16
